ID,minTemp,maxTemp,url
SIE_DS_InhabEM,-40,50,https://cache.industry.siemens.com/dl/files/239/109973239/att_1293296/v1/SIE_DS_InhabEM.pdf
smart7kt, -20,60,https://assets.new.siemens.com/siemens/assets/api/uuid:add7ae8b-ea57-44ea-90e3-d174f4d69540/smart7ktcatalog2019.pdf
